"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @BAEK0FF: 2016-The way Chanyeol cut his birthday cake on stageㅋㅋㅋㅋ One of the iconic birthday moments!

#OurMeissaChanyeolDay 
#HappyCha…",FALSE,0,NA,2021-11-27 13:45:53,FALSE,NA,"1464591307867758594",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nevernotLOEY",68,TRUE,FALSE,NA,NA
"@eriyelle_ Happy Chanyeol Day!!!

#OurMeissaChanyeolDay
#HappyChanyeolDay
#찬열아생일축하해
#항상찬열이편 
@weareoneEXO https://t.co/clf2vA9Zeb",FALSE,0,"eriyelle_",2021-11-27 13:45:53,FALSE,"1464257451868385288","1464591307469246465","1426603810835689479","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","treasureyooonze",0,FALSE,FALSE,NA,NA
"@X1X1NG HAPPY CHANYEOL DAY
#OurMeissaChanyeolDay 
#HappyChanyeolDay
#찬열아생일축하해
#항상찬열이편",FALSE,0,"X1X1NG",2021-11-27 13:45:53,FALSE,"1464536062265540612","1464591307293315077","859108988683726851","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chanyolimnida",2,FALSE,FALSE,NA,NA
"RT @gigipcyyou: pls rt𓂃ꕤ

giveaway ♡̷̷̷ scented candle 🕯 
100% soy wax

✿ only 1pc for exols 
✿ random from retweeted
✿ 27/11 (9pm)

യ ship…",FALSE,0,NA,2021-11-27 13:45:52,FALSE,NA,"1464591305414041607",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","cherrypie_cs",109,TRUE,FALSE,NA,NA
"@xexobestboys @tobensbff @weareoneEXO HAPPY CHANYEOL DAY 💋

#OurMeissaChanyeolDay 
#HappyChanyeolDay
#찬열아생일축하해
#항상찬열이편",FALSE,0,"xexobestboys",2021-11-27 13:45:51,FALSE,"1464590751786889224","1464591302503268355","1376882149526138892","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TobenisnotLOML",0,FALSE,FALSE,NA,NA
"HAPPY CHANYEOL DAY
#OurMeissaChanyeolDay 
#HappyChanyeolDay
#찬열아생일축하해
#항상찬열이편",FALSE,0,"MrParkHyunee",2021-11-27 13:45:50,FALSE,"1464591264167432203","1464591298355208197","1262978030856802304","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MrParkHyunee",0,FALSE,FALSE,NA,NA
"@l0eypcy_ @weareoneEXO HAPPY CHANYEOL DAY 

#CHANYEOL
#OurMeissaChanyeolDay 
#HappyChanyeolDay
#찬열아생일축하해… https://t.co/TCEItdbh7V",FALSE,0,"_Bunnycitizen",2021-11-27 13:45:50,TRUE,"1464589741232300044","1464591296387944450","1366239308726689792","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_Bunnycitizen",0,FALSE,FALSE,NA,NA
"@27xCHANYEOL HAPPY CHANYEOL DAY 

#OurMeissaChanyeolDay 
#HappyChanyeolDay
#찬열아생일축하해
#항상찬열이편 9",FALSE,0,"27xCHANYEOL",2021-11-27 13:45:50,FALSE,"1464590494470586377","1464591294877995014","1101886838279614464","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Bilssomnim61",0,FALSE,FALSE,NA,NA
"2K

HAPPY CHANYEOL DAY
#OurMeissaChanyeolDay 
#HappyChanyeolDay
#찬열아생일축하해
#항상찬열이편",FALSE,0,NA,2021-11-27 13:45:50,FALSE,NA,"1464591294567751690",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","X1X1NG",1,FALSE,FALSE,NA,NA
"@l0eypcy_ @weareoneEXO HAPPY CHANYEOL DAY 

#CHANYEOL
#OurMeissaChanyeolDay 
#HappyChanyeolDay
#찬열아생일축하해 #HappyVirus  
#항상찬열이편 @weareoneEXO",FALSE,0,"sehunfangirlll",2021-11-27 13:45:50,FALSE,"1464591276297256963","1464591294357913602","1224948281236545536","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sehunfangirlll",0,FALSE,FALSE,NA,NA
"RT @aeridays: Comment your favorite Chanyeol photo with the tags 🔥

#OurMeissaChanyeolDay
#HappyChanyeolDay
#찬열아생일축하해 
#항상찬열이편 
#CHANYEOL #…",FALSE,0,NA,2021-11-27 13:45:49,FALSE,NA,"1464591292063645699",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nhung04L",128,TRUE,FALSE,NA,NA
"RT @ParkChanyeolINA: 211127 #CHANYEOL Last Curtain Call 'A Song of Meissa'

Cr Lumbre_61
#찬열 #메이사의노래 
#HappyChanyeolDay 
 https://t.co/KfgW…",FALSE,0,NA,2021-11-27 13:45:48,FALSE,NA,"1464591289710645251",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cy6127_",6,TRUE,FALSE,NA,NA
